target,gene,class,mechanism,family,group,organism
tet30_NT,tet(30),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TET30,tet30_NT,Agrobacterium Pararhizobium
tet31_NT,tet(31),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TET31,tet31_NT,Aeromonas Bordetella Escherichia Gallibacterium Piscirickettsia Providencia Pseudoalteromonas Rheinheimera Salmonella Thiopseudomonas 
tet32_NT,tet(W/32/O),Tetracyclines,Tetracycline_resistance_ribosomal_protection_proteins,TET32,tet32_NT,Actinobacillus Amygdalobacter Anaerostipes Blautia Campylobacter Claveliimonas Dorea Dysosmobacter Enterococcus Gleimia Lactobacillus Mediterraneibacter Sellimonas Streptococcus Trueperella [Eubacterium]
tet33_NT,tet(33),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TET33,tet33_NT,Brevibacterium Cellulosimicrobium Citricoccus Corynebacterium Glutamicibacter Leucobacter Microbacterium Mycolicibacterium Paenarthrobacter Prescottella Propioniciclava Tessaracoccus Trueperella Vibrio
tet34_NT,tet(34),Tetracyclines,Tetracycline_inactivation_enzymes,TET34,tet34_NT,Vibrio
tet35_or_effJ_NT,tet(35),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TET35,tet35_or_effJ_NT,Vibrio
tet36_NT,tet(36),Tetracyclines,Tetracycline_resistance_ribosomal_protection_proteins,TET36,tet36_NT,Bacteroidales Bacteroides Chryseobacterium Clostridium Elizabethkingia Empedobacter Enterococcus Flavobacterium Fusobacterium Herbinix Myroides Staphylococcus 
tet37_NT,tet(37),Tetracyclines,Tetracycline_inactivation_enzymes,TET37,tet37_NT,Prevotella 
tet38_NT,tet(38),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TET38,tet38_NT,Enterobacter Escherichia Klebsiella Pseudomonas Staphylococcus Streptococcus
tet38_NT.1,tet(38),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TET38,tet38_NT,Enterobacter Escherichia Klebsiella Pseudomonas Staphylococcus Streptococcus
tet39_NT,tet(39),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TET39,tet39_NT,Acinetobacter Escherichia Klebsiella NA Serratia Staphylococcus 
tet40_NT,tet(40),Tetracyclines,Tetracycline_resistance_ribosomal_protection_proteins,TET40,tet40_NT,Anaerostipes Bifidobacterium Blautia Chordicoccus Clostridiaceae Clostridiales Clostridioides Clostridium Dorea Enterocloster Enterococcus Eubacterium Faecalibacterium Faecalimonas Fusobacterium Mediterraneibacter Megasphaera Monoglobus Oscillospiraceae Pseudoflavonifractor Roseburia Ruthenibacterium Salmonella Sellimonas Simiaoa Streptococcus Vescimonas Wujia [Clostridium] [Ruminococcus] 
tet41_NT,tet(41),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETA,tet41_NT,Serratia
tet42_NT,tet(42),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TET42,tet42_NT,Microbacterium Micrococcus
tet43_NT,tet(43),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TET43,tet43_NT,
tet44_NT,tet(44),Tetracyclines,Tetracycline_resistance_ribosomal_protection_proteins,TET44,tet44_NT,Acholeplasma Allocoprobacillus Amedibacterium Campylobacter Clostridioides Clostridium Coprobacillaceae Enterococcus Erysipelatoclostridium Streptococcus 
tet45_NT,tet(45),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TET45,tet45_NT,Actinobacillus Aliarcobacter Anaerostipes Bacillus Bhargavaea Brevibacillus Campylobacter Enterococcus Gardnerella Klebsiella Lactobacillus Lactococcus Listeria Lysinibacillus Megasphaera Morganella Providencia Pseudomonas Rhizobium Staphylococcus Streptococcus 
tetA_NT,tet(A),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETA,tetA_NT,Acinetobacter Aeromonas Alcaligenes Avibacterium Burkholderia Campylobacter Citrobacter Cronobacter Edwardsiella Enterobacter Enterococcus Escherichia Klebsiella Kluyvera_intermedia Laribacter Leclercia Listeria Morganella Neisseria Oceanimonas Pasteurella Plesiomonas Pluralibacter Proteus Providencia Pseudomonas Raoultella Salmonella Serratia Shewanella Shigella Staphylococcus Stenotrophomonas Vibrio Yersinia
tetB_NT,tet(B),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETB,tetB_NT,Acinetobacter Actinobacillus Avibacterium Citrobacter Cronobacter Edwardsiella Enterobacter Escherichia Gallibacterium Glaesserella Haemophilus Kingella Klebsiella Leclercia Morganella Neisseria Pasteurella Photobacterium Pluralibacter Proteus Providencia Pseudomonas Salmonella Serratia Shigella Streptococcus Vibrio Yersinia
tetC_NT,tet(C),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETC,tetC_NT,Achromobacter Acinetobacter Actinobacillus Aeromonas Agrobacterium Alcaligenes Bacillus Bacteroides Bifidobacterium Burkholderia Chlamydia Citrobacter Comamonas Cronobacter Deinococcus Edwardsiella Enterobacter Enterococcus Escherichia Fusobacterium Haemophilus Helicobacter Hydrogenophaga Klebsiella Laribacter Leclercia Listeria Micrococcus Moraxella Morganella Mycobacterium Neisseria Paenalcaligenes Pasteurella Phocaeicola Proteus Providencia Pseudomonas Saccharopolyspora Salmonella Serratia Shewanella Shigella Snodgrassella Staphylococcus Stenotrophomonas Streptococcus Streptomyces Vibrio Xanthomonas Yersinia 
tetC_NT.1,tet(C),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETC,tetC_NT,Achromobacter Acinetobacter Actinobacillus Aeromonas Agrobacterium Alcaligenes Bacillus Bacteroides Bifidobacterium Burkholderia Chlamydia Citrobacter Comamonas Cronobacter Deinococcus Edwardsiella Enterobacter Enterococcus Escherichia Fusobacterium Haemophilus Helicobacter Hydrogenophaga Klebsiella Laribacter Leclercia Listeria Melaminivora Micrococcus Moraxella Morganella Mycobacterium Neisseria Pasteurella Phocaeicola Proteus Providencia Pseudomonas Saccharopolyspora Salmonella Serratia Shewanella Shigella Staphylococcus Stenotrophomonas Streptococcus Streptomyces Vibrio Yersinia 
tetD_NT,tet(D),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETC,tetD_NT,Acinetobacter Aeromonas Bordetella Citrobacter Comamonas Corynebacterium Cronobacter Delftia Edwardsiella Enterobacter Escherichia Klebsiella Kluyvera_intermedia Laribacter Morganella Pasteurella Photobacterium Plesiomonas Pluralibacter Proteus Providencia Pseudomonas Raoultella Rhodobacteraceae Salmonella Serratia Shewanella Trueperella Vibrio Yersinia
tetE_NT,tet(E),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETE,tetE_NT,Acinetobacter Aeromonas Aliivibrio Citrobacter Enterobacter Escherichia Klebsiella Pseudomonas Raoultella Salmonella Vibrio Yersinia 
tetG_NT,tet(G),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETG,tetG_NT,Acinetobacter Aeromonas Alcaligenes Burkholderia Citrobacter Comamonas Ectopseudomonas Enterobacter Escherichia Klebsiella Morganella Paracoccus Proteus Providencia Pseudomonas Salmonella Serratia Stenotrophomonas Vibrio
tetH_NT,tet(H),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETH,tetH_NT,Acinetobacter Actinobacillus Aeromonas Aliarcobacter Avibacterium Bibersteinia Escherichia Glaesserella Histophilus Klebsiella Mannheimia Moellerella Moraxella Morganella Pasteurella Pasteurellaceae Proteus Providencia Psychrobacter Salmonella Streptococcus Vibrio Wohlfahrtiimonas Yersinia
tetH_NT.1,tet(H),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETH,tetH_NT,Acinetobacter Actinobacillus Aeromonas Aliarcobacter Avibacterium Escherichia Histophilus Klebsiella Mannheimia Moellerella Moraxella Morganella Pasteurella Pasteurellaceae Proteus Providencia Salmonella Streptococcus Vibrio Wohlfahrtiimonas Yersinia
tetJ_NT,tet(J),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETJ,tetJ_NT,Acinetobacter Citrobacter Escherichia Klebsiella Proteus Providencia Pseudomonas Salmonella Staphylococcus Vibrio
