header,class,mechanism,group
blaERP_T.2,betalactams,Class_A_betalactamases,ERP
blaERP_T.3,betalactams,Class_A_betalactamases,ERP
blaERP_T.4,betalactams,Class_A_betalactamases,ERP
blaFAR_T,betalactams,Class_A_betalactamases,FAR1
blaFAR_T.1,betalactams,Class_A_betalactamases,FAR1
blaFAR_T.2,betalactams,Class_A_betalactamases,FAR1
blaFEC_T,betalactams,Class_A_betalactamases,CTX
blaFEC_T.1,betalactams,Class_A_betalactamases,CTX
blaFEC_T.2,betalactams,Class_A_betalactamases,CTX
blaFOX-1_T,betalactams,Class_C_betalactamases,FOX
blaFOX-1_T.1,betalactams,Class_C_betalactamases,FOX
blaFOX-1_T.2,betalactams,Class_C_betalactamases,FOX
blaFOX-1_T.3,betalactams,Class_C_betalactamases,FOX
blaGES_T,betalactams,Class_A_betalactamases,GES
blaGES_T.1,betalactams,Class_A_betalactamases,GES
blaGES_T.2,betalactams,Class_A_betalactamases,GES
blaGES_T.3,betalactams,Class_A_betalactamases,GES
blaGES-7_T,betalactams,Class_A_betalactamases,GES
blaGES-7_T.1,betalactams,Class_A_betalactamases,GES
blaGES-7_T.2,betalactams,Class_A_betalactamases,GES
blaGES-7_T.3,betalactams,Class_A_betalactamases,GES
blaGIM-1_T,betalactams,Class_B_betalactamases,GIM
blaGIM-1_T.1,betalactams,Class_B_betalactamases,GIM
blaGOB_T,betalactams,Class_B_betalactamases,GOB
blaGOB_T.1,betalactams,Class_B_betalactamases,GOB
blaGOB_T.2,betalactams,Class_B_betalactamases,GOB
blaHERA_T,betalactams,Class_A_betalactamases,HERA
blaHERA_T.1,betalactams,Class_A_betalactamases,HERA
blaHERA_T.2,betalactams,Class_A_betalactamases,HERA
blaHERA_T.3,betalactams,Class_A_betalactamases,HERA
blaIMI-3_or_nmc_T,betalactams,Class_A_betalactamases,IMI
blaIMI-3_or_nmc_T.1,betalactams,Class_A_betalactamases,IMI
blaIMI-3_or_nmc_T.2,betalactams,Class_A_betalactamases,IMI
blaIMP-1_T,betalactams,Class_B_betalactamases,IMP
blaIMP-1_T.1,betalactams,Class_B_betalactamases,IMP
blaIMP-1_T.2,betalactams,Class_B_betalactamases,IMP
blaIMP-1_T.3,betalactams,Class_B_betalactamases,IMP
blaIMP-11.family_T,betalactams,Class_B_betalactamases,IMP
blaIMP-11.family_T.1,betalactams,Class_B_betalactamases,IMP
blaIMP-11.family_T.2,betalactams,Class_B_betalactamases,IMP
blaIMP-12.family_T,betalactams,Class_B_betalactamases,IMP
blaIMP-12.family_T.1,betalactams,Class_B_betalactamases,IMP
blaIMP-12.family_T.2,betalactams,Class_B_betalactamases,IMP
blaIMP-12.family_T.3,betalactams,Class_B_betalactamases,IMP
blaIMP-14_T,betalactams,Class_B_betalactamases,IMP
blaIMP-14_T.1,betalactams,Class_B_betalactamases,IMP
blaIMP-14_T.2,betalactams,Class_B_betalactamases,IMP
blaIMP-2_T,betalactams,Class_B_betalactamases,IMP
blaIMP-2_T.1,betalactams,Class_B_betalactamases,IMP
blaIMP-2_T.2,betalactams,Class_B_betalactamases,IMP
blaIMP-5.family_T,betalactams,Class_B_betalactamases,IMP
blaIMP-5.family_T.1,betalactams,Class_B_betalactamases,IMP
blaIMP-5.family_T.2,betalactams,Class_B_betalactamases,IMP
blaIMP-5.family_T.3,betalactams,Class_B_betalactamases,IMP
blaIND_T,betalactams,Class_B_betalactamases,IND
blaIND_T.1,betalactams,Class_B_betalactamases,IND
blaIND_T.2,betalactams,Class_B_betalactamases,IND
blaJOHN-1_T,betalactams,Class_B_betalactamases,JOHN
blaJOHN-1_T.1,betalactams,Class_B_betalactamases,JOHN
blaJOHN-1_T.2,betalactams,Class_B_betalactamases,JOHN
blaKHM_T,betalactams,Class_B_betalactamases,KHM
blaKHM_T.1,betalactams,Class_B_betalactamases,KHM
blaKHM_T.2,betalactams,Class_B_betalactamases,KHM
blaKPC_T,betalactams,Class_A_betalactamases,KPC
blaKPC_T.1,betalactams,Class_A_betalactamases,KPC
blaKPC_T.2,betalactams,Class_A_betalactamases,KPC
blaLAT-1_or_LAT-4_T,betalactams,Class_C_betalactamases,CMY
blaLAT-1_or_LAT-4_T.1,betalactams,Class_C_betalactamases,CMY
blaLAT-1_or_LAT-4_T.2,betalactams,Class_C_betalactamases,CMY
blaLAT-1_or_LAT-4_T.3,betalactams,Class_C_betalactamases,BIL
blaLAT-1_or_LAT-4_T.4,betalactams,Class_C_betalactamases,CMY
blaLAT-1_or_LAT-4_T.5,betalactams,Class_C_betalactamases,CMY
blaLCR-1_T,betalactams,Class_D_betalactamases,LCR
blaLCR-1_T.1,betalactams,Class_D_betalactamases,LCR
blaLEN-1_T,betalactams,Class_A_betalactamases,LEN
blaLEN-1_T.1,betalactams,Class_A_betalactamases,LEN
blaLEN-1_T.2,betalactams,Class_A_betalactamases,LEN
blaLEN-1_T.3,betalactams,Class_A_betalactamases,LEN
blaLUT_T,betalactams,Class_A_betalactamases,LUT
blaLUT_T.1,betalactams,Class_A_betalactamases,LUT
blaLUT_T.2,betalactams,Class_A_betalactamases,LUT
blaLUT_T.3,betalactams,Class_A_betalactamases,LUT
blaLUT_T.4,betalactams,Class_A_betalactamases,LUT
blaMIR-1_T,betalactams,Class_C_betalactamases,AZECL
blaMIR-1_T.1,betalactams,Class_C_betalactamases,MIR
blaMIR-1_T.2,betalactams,Class_C_betalactamases,MIR
blaMIR-1_T.3,betalactams,Class_C_betalactamases,MIR
blaMIR-1_T.4,betalactams,Class_C_betalactamases,AZECL
blaMIR-6_T,betalactams,Class_C_betalactamases,MIR
blaMIR-6_T.1,betalactams,Class_C_betalactamases,MIR
blaMIR-6_T.2,betalactams,Class_C_betalactamases,MIR
blaMIR-6_T.3,betalactams,Class_C_betalactamases,MIR
blaMIR-6_T.4,betalactams,Class_C_betalactamases,MIR
blaMOX-1_T,betalactams,Class_C_betalactamases,CMY
blaMOX-1_T.1,betalactams,Class_C_betalactamases,CMY
blaMOX-1_T.2,betalactams,Class_C_betalactamases,CMY
blaMOX-1_T.3,betalactams,Class_C_betalactamases,CMY
blaMUS_T,betalactams,Class_B_betalactamases,MUS
blaMUS_T.1,betalactams,Class_B_betalactamases,MUS
blaNDM-1_T,betalactams,Class_B_betalactamases,NDM
blaNDM-1_T.1,betalactams,Class_B_betalactamases,NDM
blaNDM-1_T.2,betalactams,Class_B_betalactamases,NDM
blaOCH_T,betalactams,Class_C_betalactamases,OCH
blaOCH_T.1,betalactams,Class_C_betalactamases,OCH
blaOCH_T.2,betalactams,Class_C_betalactamases,OCH
blaOCH_T.3,betalactams,Class_C_betalactamases,OCH
blaOCH_T.4,betalactams,Class_C_betalactamases,OCH
blaOKP-A_T,betalactams,Class_A_betalactamases,OKP
blaOKP-A_T.1,betalactams,Class_A_betalactamases,OKP
blaOKP-A_T.2,betalactams,Class_A_betalactamases,OKP
blaOKP-A_T.3,betalactams,Class_A_betalactamases,OKP
blaOXA-1_T,betalactams,Class_D_betalactamases,OXA
blaOXA-1_T.1,betalactams,Class_D_betalactamases,OXA
blaOXA-1_T.2,betalactams,Class_D_betalactamases,OXA
blaOXA-10_or_PSE-2_T,betalactams,Class_D_betalactamases,OXA
blaOXA-10_or_PSE-2_T.1,betalactams,Class_D_betalactamases,OXA
blaOXA-10_or_PSE-2_T.2,betalactams,Class_D_betalactamases,OXA
blaOXA-10_or_PSE-2_T.3,betalactams,Class_D_betalactamases,OXA
blaOXA-134_T,betalactams,Class_D_betalactamases,OXA
blaOXA-134_T.1,betalactams,Class_D_betalactamases,OXA
blaOXA-134_T.2,betalactams,Class_D_betalactamases,OXA
blaOXA-134_T.3,betalactams,Class_D_betalactamases,OXA
blaOXA-2.family_T,betalactams,Class_D_betalactamases,OXA
blaOXA-23_T,betalactams,Class_D_betalactamases,OXA
blaOXA-23_T.1,betalactams,Class_D_betalactamases,OXA
blaOXA-23_T.2,betalactams,Class_D_betalactamases,OXA
blaOXA-231_T,betalactams,Class_D_betalactamases,OXA
blaOXA-231_T.1,betalactams,Class_D_betalactamases,OXA
blaOXA-231_T.2,betalactams,Class_D_betalactamases,OXA
blaOXA-231_T.3,betalactams,Class_D_betalactamases,OXA
blaOXA-231_T.4,betalactams,Class_D_betalactamases,OXA
blaOXA-24_T,betalactams,Class_D_betalactamases,OXA
blaOXA-24_T.1,betalactams,Class_D_betalactamases,OXA
blaOXA-24_T.2,betalactams,Class_D_betalactamases,OXA
blaOXA-48_T,betalactams,Class_D_betalactamases,OXA
blaOXA-48_T.1,betalactams,Class_D_betalactamases,OXA
blaOXA-50_T,betalactams,Class_D_betalactamases,OXA
blaOXA-50_T.1,betalactams,Class_D_betalactamases,OXA
blaOXA-50_T.2,betalactams,Class_D_betalactamases,OXA
blaOXA-50_T.3,betalactams,Class_D_betalactamases,OXA
blaOXA-51-like_T,betalactams,Class_D_betalactamases,OXA
blaOXA-51-like_T.1,betalactams,Class_D_betalactamases,OXA
blaOXA-51-like_T.2,betalactams,Class_D_betalactamases,OXA
blaOXA-55_T,betalactams,Class_D_betalactamases,OXA
blaOXA-55_T.1,betalactams,Class_D_betalactamases,OXA
blaOXA-55_T.2,betalactams,Class_D_betalactamases,OXA
blaOXA-58_T,betalactams,Class_D_betalactamases,OXA
blaOXA-58_T.1,betalactams,Class_D_betalactamases,OXA
blaOXA-58_T.2,betalactams,Class_D_betalactamases,OXA
blaOXA-7_T,betalactams,Class_D_betalactamases,OXA
blaOXA-7_T.1,betalactams,Class_D_betalactamases,OXA
blaOXA-7_T.2,betalactams,Class_D_betalactamases,OXA
blaOXA-9_T,betalactams,Class_D_betalactamases,OXA
blaOXA-9_T.1,betalactams,Class_D_betalactamases,OXA
blaOXY-1_T,betalactams,Class_A_betalactamases,OXY
blaOXY-1_T.1,betalactams,Class_A_betalactamases,OXY
blaOXY-1_T.2,betalactams,Class_A_betalactamases,OXY
blaOXY-2_T,betalactams,Class_A_betalactamases,OXY
blaOXY-2_T.1,betalactams,Class_A_betalactamases,OXY
blaOXY-2_T.2,betalactams,Class_A_betalactamases,OXY
blaOXY-2_T.3,betalactams,Class_A_betalactamases,OXY
blaOXY-2_T.4,betalactams,Class_A_betalactamases,OXY
blaPER-1_T,betalactams,Class_A_betalactamases,PER
blaPER-1_T.1,betalactams,Class_A_betalactamases,PER
blaPER-1_T.2,betalactams,Class_A_betalactamases,PER
blaPER-1_T.3,betalactams,Class_A_betalactamases,PER
blaPER-1_T.4,betalactams,Class_A_betalactamases,PER
blaPER-2_T,betalactams,Class_A_betalactamases,PER
blaPER-2_T.1,betalactams,Class_A_betalactamases,PER
blaPER-2_T.2,betalactams,Class_A_betalactamases,PER
blaPME_T,betalactams,Class_A_betalactamases,PME
blaPME_T.1,betalactams,Class_A_betalactamases,PME
blaPME_T.2,betalactams,Class_A_betalactamases,PME
blaPME_T.3,betalactams,Class_A_betalactamases,PME
blaPSE-1_or_CARB-2_T,betalactams,Class_A_betalactamases,CARB
blaPSE-1_or_CARB-2_T.1,betalactams,Class_A_betalactamases,CARB
blaPSE-1_or_CARB-2_T.2,betalactams,Class_A_betalactamases,CARB
blaPSE-1_or_CARB-2_T.3,betalactams,Class_A_betalactamases,CARB
blaRAHN_T,betalactams,Class_A_betalactamases,RAHN
blaRAHN_T.1,betalactams,Class_A_betalactamases,RAHN
blaRAHN_T.2,betalactams,Class_A_betalactamases,RAHN
blaRAHN_T.3,betalactams,Class_A_betalactamases,RAHN
blaROB_T,betalactams,Class_A_betalactamases,ROB
blaROB_T.1,betalactams,Class_A_betalactamases,ROB
blaROB_T.2,betalactams,Class_A_betalactamases,ROB
blaSCO_T,betalactams,Class_A_betalactamases,SCO
blaSCO_T.1,betalactams,Class_A_betalactamases,SCO
blaSCO_T.2,betalactams,Class_A_betalactamases,SCO
blaSFC_T,betalactams,Class_A_betalactamases,SFC
blaSFH-1_T,betalactams,Class_B_betalactamases,SFH
